,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
4681038,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-22,-9.0,1.0,18.0,-18.0,-3.0,3.0,2020-03-22
4681039,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-23,-4.0,0.0,11.0,-13.0,-3.0,3.0,2020-03-23
4681040,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-24,0.0,3.0,14.0,-13.0,-4.0,4.0,2020-03-24
4681041,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-25,2.0,8.0,31.0,-11.0,-4.0,2.0,2020-03-25
4681042,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-26,0.0,13.0,26.0,-13.0,-5.0,3.0,2020-03-26
4681043,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-27,-10.0,3.0,-9.0,-19.0,-7.0,6.0,2020-03-27
4681044,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-28,-18.0,1.0,-23.0,-33.0,-8.0,7.0,2020-03-28
4681045,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-29,-26.0,-7.0,-25.0,-41.0,-9.0,7.0,2020-03-29
4681046,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-30,-7.0,4.0,-2.0,-20.0,-8.0,5.0,2020-03-30
4681047,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-03-31,-4.0,7.0,9.0,-20.0,-7.0,5.0,2020-03-31
4681048,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-01,-20.0,-5.0,-29.0,-25.0,-10.0,7.0,2020-04-01
4681049,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-02,-12.0,6.0,13.0,-23.0,-10.0,6.0,2020-04-02
4681050,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-03,-14.0,6.0,26.0,-25.0,-11.0,7.0,2020-04-03
4681051,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-04,-21.0,6.0,26.0,-35.0,-12.0,8.0,2020-04-04
4681052,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-05,-25.0,2.0,3.0,-43.0,-13.0,8.0,2020-04-05
4681053,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-06,-13.0,7.0,15.0,-24.0,-11.0,7.0,2020-04-06
4681054,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-07,-12.0,6.0,17.0,-27.0,-13.0,8.0,2020-04-07
4681055,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-08,-22.0,2.0,16.0,-34.0,-16.0,9.0,2020-04-08
4681056,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-09,-24.0,2.0,8.0,-36.0,-17.0,10.0,2020-04-09
4681057,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-10,-26.0,4.0,0.0,-38.0,-18.0,12.0,2020-04-10
4681058,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-11,-30.0,4.0,3.0,-48.0,-22.0,12.0,2020-04-11
4681059,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-12,-40.0,-9.0,-35.0,-58.0,-22.0,12.0,2020-04-12
4681060,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-13,-38.0,-15.0,-45.0,-45.0,-20.0,13.0,2020-04-13
4681061,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-14,-23.0,5.0,10.0,-41.0,-20.0,12.0,2020-04-14
4681062,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-15,-24.0,7.0,17.0,-41.0,-21.0,11.0,2020-04-15
4681063,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-16,-27.0,5.0,9.0,-43.0,-22.0,12.0,2020-04-16
4681064,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-17,-31.0,4.0,-1.0,-46.0,-23.0,14.0,2020-04-17
4681065,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-18,-48.0,-14.0,-47.0,-60.0,-26.0,16.0,2020-04-18
4681066,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-19,-40.0,-3.0,1.0,-53.0,-23.0,11.0,2020-04-19
4681067,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-20,-37.0,-8.0,-33.0,-47.0,-23.0,14.0,2020-04-20
4681068,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-21,-31.0,1.0,8.0,-46.0,-25.0,14.0,2020-04-21
4681069,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-22,-36.0,-4.0,-3.0,-48.0,-26.0,14.0,2020-04-22
4681070,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-23,-36.0,-3.0,-4.0,-48.0,-26.0,15.0,2020-04-23
4681071,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-24,-37.0,-1.0,-8.0,-48.0,-26.0,16.0,2020-04-24
4681072,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-25,-41.0,-3.0,-9.0,-53.0,-26.0,14.0,2020-04-25
4681073,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-26,-45.0,-9.0,-16.0,-58.0,-27.0,12.0,2020-04-26
4681074,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-27,-35.0,-5.0,-9.0,-47.0,-26.0,15.0,2020-04-27
4681075,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-28,-28.0,2.0,4.0,-46.0,-27.0,14.0,2020-04-28
4681076,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-04-29,-30.0,-5.0,23.0,-64.0,-64.0,22.0,2020-04-29
