,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
5679157,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-22,-48.0,-25.0,-26.0,-34.0,-21.0,9.0,2020-03-22
5679158,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-23,-59.0,-39.0,-29.0,-44.0,-68.0,22.0,2020-03-23
5679159,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-24,-66.0,-48.0,-36.0,-52.0,-58.0,21.0,2020-03-24
5679160,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-25,-68.0,-52.0,-38.0,-57.0,-62.0,23.0,2020-03-25
5679161,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-26,-69.0,-52.0,-41.0,-60.0,-63.0,24.0,2020-03-26
5679162,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-27,-73.0,-58.0,-46.0,-65.0,-64.0,25.0,2020-03-27
5679163,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-28,-72.0,-54.0,-44.0,-62.0,-59.0,23.0,2020-03-28
5679164,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-29,-70.0,-55.0,-45.0,-62.0,-41.0,18.0,2020-03-29
5679165,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-30,-66.0,-49.0,-36.0,-59.0,-62.0,24.0,2020-03-30
5679166,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-03-31,-68.0,-53.0,-39.0,-60.0,-62.0,23.0,2020-03-31
5679167,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-01,-68.0,-52.0,-37.0,-58.0,-60.0,22.0,2020-04-01
5679168,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-02,-66.0,-50.0,-36.0,-58.0,-59.0,22.0,2020-04-02
5679169,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-03,-69.0,-53.0,-39.0,-60.0,-60.0,23.0,2020-04-03
5679170,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-04,-67.0,-49.0,-39.0,-58.0,-52.0,20.0,2020-04-04
5679171,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-05,-65.0,-51.0,-41.0,-57.0,-34.0,15.0,2020-04-05
5679172,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-06,-60.0,-42.0,-30.0,-53.0,-53.0,20.0,2020-04-06
5679173,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-07,-62.0,-45.0,-31.0,-53.0,-54.0,20.0,2020-04-07
5679174,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-08,-64.0,-48.0,-32.0,-53.0,-55.0,20.0,2020-04-08
5679175,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-09,-65.0,-50.0,-35.0,-56.0,-57.0,22.0,2020-04-09
5679176,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-10,-66.0,-50.0,-35.0,-57.0,-55.0,21.0,2020-04-10
5679177,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-11,-65.0,-47.0,-36.0,-55.0,-48.0,19.0,2020-04-11
5679178,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-12,-65.0,-49.0,-40.0,-56.0,-33.0,15.0,2020-04-12
5679179,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-13,-59.0,-42.0,-30.0,-52.0,-52.0,20.0,2020-04-13
5679180,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-14,-61.0,-45.0,-31.0,-53.0,-52.0,19.0,2020-04-14
5679181,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-15,-59.0,-43.0,-28.0,-49.0,-48.0,19.0,2020-04-15
5679182,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-16,-57.0,-41.0,-27.0,-49.0,-48.0,19.0,2020-04-16
5679183,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-17,-63.0,-47.0,-33.0,-54.0,-50.0,19.0,2020-04-17
5679184,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-18,-60.0,-42.0,-33.0,-50.0,-40.0,16.0,2020-04-18
5679185,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-19,-57.0,-41.0,-34.0,-50.0,-23.0,12.0,2020-04-19
5679186,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-20,-51.0,-34.0,-24.0,-46.0,-43.0,16.0,2020-04-20
5679187,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-21,-53.0,-35.0,-25.0,-45.0,-43.0,16.0,2020-04-21
5679188,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-22,-53.0,-36.0,-26.0,-45.0,-43.0,15.0,2020-04-22
5679189,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-23,-52.0,-33.0,-26.0,-45.0,-43.0,16.0,2020-04-23
5679190,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-24,-55.0,-34.0,-30.0,-49.0,-46.0,17.0,2020-04-24
5679191,PK,Pakistan,,,,,,ChIJH3X9-NJS2zgRXJIU5veht0Y,2020-04-25,-64.0,-46.0,-41.0,-56.0,-42.0,20.0,2020-04-25
